Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
PTPRJ	5.893574499	6.172315146	6.102288415	6.023398278	6.152731075	5.944445786	6.12114126	5.959155554	5.657785717	5.763419926
PTPRK	6.339247185	6.223514968	6.216202166	6.273017859	6.366982732	6.112503471	6.020088349	6.020828817	6.008165282	6.014763772
PTPRM	5.357563352	5.18654843	5.314489387	5.368461265	5.940504509	5.762685801	5.741459099	5.841951845	5.422734329	5.793609291
PTPRO	0.665585259	1.766322354	0.780569205	1.174859943	1.03235208	1.469544946	0.692507944	1.090599763	2.358947399	1.87494188
PTPRS	6.014705336	5.994895306	6.409112437	6.472714079	6.284659245	5.991744573	6.193192093	6.349422717	6.14416102	6.409404533
PTPRU	4.358775927	4.328601331	4.75685632	4.545259971	4.69734908	4.513094071	4.900540235	4.954726857	4.763220831	4.686606427
PTRF	8.739966758	8.983691365	8.969378638	8.861781236	8.579931119	8.64023239	8.80981872	8.823181869	8.539117752	9.023222069
PTRH2	5.480766758	5.143995902	5.33329236	5.517080755	5.608750382	5.456947942	5.590210539	5.627950416	5.058868224	5.049873901
PTRHD1	3.399417376	3.30373061	2.703560174	2.852807913	2.883675009	2.832269211	2.848980599	2.644140576	2.272711408	2.784826979
PTS	4.006216056	3.926719902	3.532486703	3.500759827	3.736387674	4.038145625	3.721349645	3.937228246	4.840195466	4.033625368
PTTG1	6.414660284	6.376966319	5.910587449	5.977617863	5.48183746	5.752305019	5.766166932	5.533162825	6.345047923	6.109939238
PTTG1IP	7.96698933	7.98873659	8.101954957	7.995589598	7.803074855	7.849409055	7.590483374	7.681013293	7.935117989	8.196133924
PTTG3P	3.796665827	3.875619878	3.168927008	3.411757109	2.743167816	3.111627581	3.563840175	3.068389034	3.643499964	3.460022547
PTX3	0.048909988	0	0.134724284	0.331122423	1.467953156	1.783119883	0.178898659	0.631847026	0.103549582	0.05249064
PUF60	8.074798985	8.173802017	8.310411292	8.121545642	8.196603615	8.483319798	8.127699899	8.08561675	8.011158205	8.089092355
PUM1	7.237757227	7.189089075	7.306796019	7.278119983	7.151362924	6.992442767	7.154623417	7.115742754	6.817231206	6.975802844
PUM2	6.216171942	6.023165318	6.165952508	6.124887269	6.169445592	5.990139134	6.19145571	6.047711015	5.708966157	5.696961085
PURA	4.084544455	4.16471589	4.1434533	4.056648365	4.219313177	4.185710872	4.070244996	4.018291338	4.792569697	4.023799666
PURB	5.990653393	5.825035266	5.818502724	5.763937019	5.841497477	5.648247188	6.111073078	5.944210775	5.990544378	5.715391949
PUS1	4.534347556	4.547831627	5.263932969	5.505861506	5.723428773	5.847587646	5.313597477	5.443900802	4.615576591	4.418159605
PUS10	1.936443463	1.50178284	1.626752242	2.164428514	2.191761492	2.193480807	1.810800188	2.173446719	1.155636401	2.176356015
PUS3	3.542909074	3.477243327	3.341380143	3.302825737	3.379649433	3.921699323	3.726155046	3.504596517	4.124776739	4.023799666
PUS7	4.675359913	4.299071025	4.491957415	4.682037128	4.861976654	4.677728073	5.243265932	4.981463631	3.898726758	3.455156593
PUS7L	2.923388816	2.625293459	2.696315854	2.660170883	3.158706715	2.962416856	3.091717564	2.907463583	2.430394276	2.493574579
PUSL1	4.324424408	4.256686017	4.547361834	4.416103123	4.560795708	4.382117609	4.261129711	4.530072218	4.460864765	4.486524836
PVR	6.516526654	6.687890207	6.760357383	6.72707815	7.157568479	6.995246638	6.996553708	7.048458478	6.285049906	6.637536582
PVRL1	3.949384805	4.041732322	4.292617256	4.212836746	4.527359369	4.513094071	4.313156704	4.558388869	4.112416271	4.37501419
PVRL2	5.477420729	5.790435708	5.55974071	5.463258393	5.143743032	5.311549434	5.294312486	5.313740427	5.742439054	5.944456616
PVRL3	4.000010904	3.627365476	3.897180639	3.855996394	3.517724378	3.559859634	3.939800735	3.546665682	4.058669776	4.084927983
