Gene Symbol	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
AHCTF1	10.381	11.3061	9.70036	9.50578	9.76107	9.61433	9.98034	9.51332	9.95933	10.2784
AHCY	9.55009	8.6869	11.0995	10.5649	10.4371	9.92455	10.397	10.9534	9.28329	9.10332
AHCYL1	10.3298	9.42519	10.2149	10.3614	10.5682	9.81436	10.7507	10.2332	9.3697	8.93246
AHCYL2	9.56172	8.71677	9.8855	10.654	10.7759	10.7165	10.3363	10.2365	9.8515	9.26525
AHDC1	11.1797	11.8146	9.62124	10.0213	8.36931	8.63434	8.11728	8.07228	12.0886	12.0813
AHI1	10.0267	8.99237	9.97622	9.86053	10.5015	9.80991	10.6576	10.2076	9.83401	10.1335
AHNAK	11.123	11.3403	10.3138	10.4898	9.12077	9.25325	9.21361	9.37135	9.61819	10.1559
AHNAK2	11.0685	11.7125	10.2563	10.7354	8.40617	8.39507	8.61244	8.67535	10.9306	11.2077
AHR	9.80097	9.61827	10.1574	10.7486	12.6137	12.2798	4.78776	5.19041	12.1908	12.6124
AHRR	10.5295	10.8082	8.54323	8.34243	10.3455	10.7418	13.298	12.5604	7.39839	7.4326
AHSA1	9.51711	9.6885	10.1305	10.5034	10.0562	10.8817	9.95069	11.2015	9.02542	9.04491
AIDA	10.4942	10.223	10.3523	10.7726	9.1197	9.14707	8.34541	8.76457	10.6218	12.1593
AIF1L	9.84502	10.0387	9.43249	10.1488	9.5712	9.92706	10.8403	9.89373	10.1181	10.1846
AIFM1	11.2883	12.3015	8.29449	8.928	10.5064	10.2945	8.46882	8.85538	10.1686	10.894
AIFM2	10.1666	8.79595	9.56513	9.20953	10.7228	10.6834	10.1903	10.4499	10.3218	9.89457
AIM1	10.1506	10.7754	9.99888	9.48707	10.6377	10.6554	10.0608	9.22946	9.29109	9.71353
AIMP1	9.65114	9.71281	10.0577	10.2566	10.0863	10.4889	10.5852	10.4801	9.45493	9.22639
AIMP2	9.71077	8.13376	11.3988	10.1321	11.0396	10.2073	11.3283	10.6688	9.26089	8.11973
AIP	10.2306	10.1915	9.74705	10.6862	10.0361	10.0701	9.81916	9.70604	9.53476	9.97859
AJUBA	7.63687	7.07412	9.73649	10.3307	11.6071	11.7275	14.1941	14.2925	6.68915	6.71144
AK1	8.94536	8.59267	12.1598	11.9005	10.0637	10.6557	9.1375	10.3359	9.41165	8.79717
AK2	10.5491	11.4317	10.1877	10.0814	9.73068	9.87489	9.33115	9.67828	9.21237	9.92273
AK3	10.2674	10.3835	9.66774	8.89856	10.8608	10.8777	10.4032	10.8583	9.00099	8.78166
